,Date,Low,High,Close,Open,Volume,Adj Close
1532,2012-05-09,29.76,30.77,30.06,30.3,1947900.0,30.06
1531,2016-01-21,195.02,203.23,199.97,201.55,3166159.0,199.97
1530,2013-08-09,151.25,155.95,153.0,152.4,8927700.0,153.0
1529,2012-07-26,27.64,30.0,28.13,29.9,2262300.0,28.13
1528,2011-08-25,22.9,23.87,23.11,23.87,679800.0,23.11
1527,2015-08-31,245.51,254.95,249.06,245.77,4700232.0,249.06
1526,2012-07-05,30.8,31.67,31.23,30.81,1253800.0,31.23
1525,2013-05-21,85.2801,89.99,87.59,88.5,8998200.0,87.59
1524,2011-12-15,28.12,29.17,28.62,28.67,700300.0,28.62
1523,2016-03-16,217.02,222.58,221.93,218.0,3516703.0,221.93
1522,2012-01-30,28.529,29.61,29.57,29.49,729000.0,29.57
1521,2014-12-17,192.65,206.65,205.82,193.06,7367834.0,205.82
1520,2015-12-31,238.37,243.45,240.01,238.51,2715038.0,240.01
1519,2016-08-22,222.68,225.11,222.93,224.17,2065493.0,222.93
1518,2015-08-06,236.12,255.0,246.13,249.54,14623754.0,246.13
1517,2015-01-23,198.33,203.5,201.29,200.29,3442371.0,201.29
1516,2013-03-01,34.25,35.08,34.65,35.0,1546600.0,34.65
1515,2016-01-15,197.25,205.07,204.99,198.97,5578640.0,204.99
1514,2011-10-03,23.25,25.0,23.73,24.95,1023200.0,23.73
1513,2010-12-14,27.761,30.3899,28.53,30.29,1765700.0,28.53
1512,2011-05-26,28.1,29.76,29.48,28.82,3336900.0,29.48
1511,2012-05-14,30.05,32.13,30.06,31.92,1380900.0,30.06
1510,2017-01-19,240.75,248.68,243.76,247.25,7732303.0,243.76
1509,2018-01-23,351.0,360.5,352.79,360.0,5428872.0,352.79
1508,2010-09-30,20.19,22.1499,20.405,22.0,2195800.0,20.405
1507,2014-12-01,229.01,242.47,231.64,241.16,8619351.0,231.64
1506,2015-08-13,239.12,246.48,242.51,239.86,4689182.0,242.51
1505,2013-08-27,160.9501,168.8,167.01,162.3,17566900.0,167.01
1504,2016-06-30,209.02,213.4999,212.28,212.97,4843111.0,212.28
1503,2014-03-18,235.02,241.5,240.04,236.95,6242300.0,240.04
1502,2018-04-05,288.2,306.26,305.72,289.34,19121101.0,305.72
1501,2014-08-25,258.19,263.68,262.55,258.19,4308000.0,262.55
1500,2011-02-15,22.56,23.17,22.84,23.01,953700.0,22.84
1499,2011-09-01,23.835,24.87,24.0,24.66,848100.0,24.0
1498,2012-02-17,33.5,34.97,34.97,33.99,1376700.0,34.97
1497,2014-05-19,190.0,196.89,196.09,190.72,4571700.0,196.09
1496,2015-07-30,262.11,266.94,266.79,262.69,2034560.0,266.79
1495,2011-07-12,28.0,29.09,28.17,28.37,1045400.0,28.17
1494,2015-02-11,207.28,214.74,212.8,212.21,9769102.0,212.8
1493,2013-01-16,33.73,34.23,34.1,33.85,1378200.0,34.1
1492,2015-10-28,208.3,213.45,212.96,211.31,2728593.0,212.96
1491,2014-05-12,179.88,187.19,184.67,183.87,7002300.0,184.67
1490,2015-01-28,198.42,206.368,199.37,206.11,3149606.0,199.37
1489,2012-05-03,32.13,34.0,32.46,33.91,841300.0,32.46
1488,2010-12-08,31.52,32.49,32.37,32.48,660000.0,32.37
1487,2017-04-04,294.53,304.81,303.7,296.89,10134556.0,303.7
1486,2013-08-16,140.97,143.907,142.0,141.63,7108100.0,142.0
1485,2014-11-21,242.17,252.78,242.78,252.21,7485059.0,242.78
1484,2014-05-23,202.5,207.76,207.3,204.53,4006800.0,207.3
1483,2016-03-30,226.5,235.5,226.89,235.09,4032982.0,226.89
1482,2013-08-12,142.05,150.5,147.38,149.43,14912200.0,147.38
1481,2010-12-31,26.5,27.25,26.63,26.57,1417900.0,26.63
1480,2011-04-21,25.5901,26.98,26.74,25.85,1386100.0,26.74
1479,2011-08-30,24.09,24.77,24.63,24.5,366200.0,24.63
1478,2013-01-09,33.4,34.19,33.64,34.01,698000.0,33.64
1477,2011-08-29,24.02,24.85,24.71,24.22,803400.0,24.71
1476,2012-01-24,26.4399,27.68,27.42,26.63,858000.0,27.42
1475,2011-08-04,24.67,26.89,24.75,26.51,3064500.0,24.75
1474,2015-07-23,265.27,269.9,267.2,269.65,2227239.0,267.2
1473,2012-09-12,27.8,28.58,28.28,27.9,1145200.0,28.28
1472,2011-08-16,25.83,26.54,26.1,26.13,537700.0,26.1
1471,2010-08-27,19.5,19.865,19.7,19.75,379600.0,19.7
1470,2017-01-12,225.58,230.7,229.59,229.06,3790229.0,229.59
1469,2015-02-13,200.91,205.99,203.77,202.9,6191003.0,203.77
1468,2014-07-14,215.4502,228.79,226.7,219.99,7203200.0,226.7
1467,2015-05-19,246.15,251.0,247.14,248.43,3674231.0,247.14
1466,2013-10-03,168.0,179.69,173.31,175.045,23816500.0,173.31
1465,2017-05-18,305.31,313.94,313.06,307.0,5590416.0,313.06
1464,2013-03-21,35.74,37.06,36.01,35.95,1146300.0,36.01
1463,2013-11-07,137.62,145.65,139.772,144.19,22284700.0,139.772
1462,2013-11-26,116.1,122.72,120.5,119.38,13885500.0,120.5
1461,2018-03-29,248.21,270.9599,266.13,256.49,15170749.0,266.13
1460,2016-09-29,200.58,207.33,200.7,205.6,2727029.0,200.7
1459,2011-06-13,27.88,28.88,28.43,28.07,1713400.0,28.43
1458,2010-06-30,23.3,30.4192,23.83,25.79,17187100.0,23.83
1457,2018-08-07,339.1501,387.46,379.57,343.84,30875768.0,379.57
1456,2018-05-01,293.22,300.82,299.92,293.51,4625603.0,299.92
1455,2016-11-10,180.42,191.61,185.35,191.05,6750341.0,185.35
1454,2012-07-06,30.8,31.73,30.99,30.99,784500.0,30.99
1453,2010-11-18,28.9201,30.74,29.89,30.67,956100.0,29.89
1452,2018-06-05,286.74,297.8,291.13,297.7,5995157.0,291.13
1451,2016-06-21,218.81,222.569,219.61,220.68,4529005.0,219.61
1450,2017-02-17,264.15,272.89,272.23,265.8,6257149.0,272.23
1449,2014-06-30,239.0,244.49,240.06,239.55,4828600.0,240.06
1448,2017-09-25,342.88,357.47,344.99,353.15,7542161.0,344.99
1447,2010-09-27,20.05,20.81,20.53,20.4,418600.0,20.53
1446,2010-11-16,28.42,31.4,29.67,31.0,1347600.0,29.67
1445,2013-10-28,162.2,170.5,162.86,170.18,7841700.0,162.86
1444,2014-12-22,218.26,224.06,222.6,220.0,4806917.0,222.6
1443,2015-04-17,203.5,206.88,206.79,204.99,2469926.0,206.79
1442,2018-02-22,334.7501,347.44,346.17,335.53,6940349.0,346.17
1441,2017-11-13,299.11,316.8,315.4,300.13,7536669.0,315.4
1440,2018-03-15,321.1,332.85,325.6,329.38,6366922.0,325.6
1439,2010-11-24,34.334,35.97,35.47,35.27,1425000.0,35.47
1438,2011-06-29,28.07,29.09,28.29,28.5,1461800.0,28.29
1437,2012-07-10,30.89,32.48,31.27,31.54,758400.0,31.27
1436,2015-03-20,195.621,198.99,198.08,197.45,4269467.0,198.08
1435,2018-02-16,331.64,343.12,335.49,332.5,5585810.0,335.49
1434,2016-03-03,184.22,197.42,195.74,188.28,4829018.0,195.74
1433,2016-09-28,205.26,208.25,206.27,207.51,2088374.0,206.27
1432,2017-02-03,249.68,252.18,251.33,251.91,2186723.0,251.33
1431,2018-08-01,293.0,303.0,300.84,297.99,10129430.0,300.84
1430,2010-11-04,22.151,25.33,24.9,22.6,1874000.0,24.9
1429,2011-12-30,28.25,28.98,28.56,28.49,339800.0,28.56
1428,2017-06-12,350.62,364.5,359.01,357.99,10476833.0,359.01
1427,2016-10-26,200.1,203.19,202.24,201.0,5632841.0,202.24
